,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
27,Mrs. Hilt had number0 cents . She bought a pencil for number1 cents . How much money did she have left ?,15.0 11.0,- number0 number1,4.0,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",,,Mrs. Hilt had number0 cents . She bought a pencil for number1 cents .,,,How much money did she have left ?
28,"While shopping for music online , Isabel bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs . How many songs did Isabel buy total ?",4.0 5.0 8.0,* number2 + number0 number1,72.0,"[7, 8, 9, 11, 12, 13, 24, 25, 26, 32, 33, 34]",,,"While shopping for music online , Isabel bought number0 country albums and number1 pop albums . Each album came with a lyric sheet and had number2 songs .",,,How many songs did Isabel buy total ?
29,A chef bought number0 kilograms of almonds and number1 kilograms of pecans . How many kilograms of nuts did the chef buy in all ?,0.14 0.38,+ number0 number1,0.52,"[2, 3, 4, 7, 8, 9, 21, 22, 23]",,,A chef bought number0 kilograms of almonds and number1 kilograms of pecans .,,,How many kilograms of nuts did the chef buy in all ?
30,Helen starts with number0 cards . Gary takes number1 away . How many cards does Helen end with ?,82.0 9.0,- number0 number1,73.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",,,Helen starts with number0 cards . Gary takes number1 away .,,,How many cards does Helen end with ?
31,"Olivia was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",9.0 13.0 41.0,/ + number1 number2 number0,6.0,"[6, 7, 8, 15, 16, 17, 20, 21, 22, 28, 29, 30]",,,"Olivia was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",,,how many baggies could she make ?
32,"If Bob can make number0 feet of rope in number1 hours and Tim can make number2 feet of rope in number3 hours , how many feet of rope can Bob and Tim working together make in number4 hours ?",100.0 2.0 75.0 2.0 4.0,+ * / number0 number1 number4 * / number2 number1 number4,350.0,"[3, 4, 5, 8, 9, 10, 14, 15, 16, 19, 20, 21, 35, 36, 37, 35, 36, 37]",,,"If Bob can make number0 feet of rope in number1 hours and Tim can make number2 feet of rope in number3 hours ,",,,how many feet of rope can Bob and Tim working together make in number4 hours ?
33,"Bianca picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",23.0 10.0 47.0,- + number0 number2 number1,60.0,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]",,,"Bianca picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",,,how many carrots would she have total ?
34,Nancy 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters how many loads would she have to do ?,9.0 19.0 8.0,/ + number1 number2 number0,3.0,"[7, 8, 9, 20, 21, 22, 23, 24, 25, 31, 32, 33]",,,Nancy 's old washing machine could only wash number0 pieces of clothing at a time . If she had to wash number1 shirts and number2 sweaters,,,how many loads would she have to do ?
35,Joan has number0 books . Tom has number1 books . How many books do they have together ?,10.0 38.0,+ number0 number1,48.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,Joan has number0 books . Tom has number1 books .,,,How many books do they have together ?
36,"Tom bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Tom still have ?",14.0 8.0 3.0,* number2 - number0 number1,18.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]",,,"Tom bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",,,how many pieces did Tom still have ?
37,Misha has number0 dollars . How many more dollars does she have to earn to have number1 dollars ?,34.0 47.0,- number1 number0,13.0,"[1, 2, 3, 15, 16, 17, 15, 16, 17]",,,Misha has number0 dollars .,,,How many more dollars does she have to earn to have number1 dollars ?
38,"Edward started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies , how much money did he end up with ?",2.0 27.0 5.0,- + number0 number1 number2,24.0,"[12, 13, 14, 22, 23, 24, 30, 31, 32, 41, 42, 43]",,,"Edward started his own lawn mowing business . In the spring he made number0 dollars mowing lawns and in the summer he made number1 dollars . If he had to spend number2 dollars buying supplies ,",,,how much money did he end up with ?
39,Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,5.0 3.0,- number0 number1,2.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",,,Fred has number0 baseball cards . Melanie bought number1 of Fred 's baseball cards .,,,How many baseball cards does Fred have now ?
40,Kenji and his classmates placed colored blocks on a scale during a science lab . The yellow block weighed number0 pounds and the green block weighed number1 pounds . How much more did the yellow block weigh than the green block ?,0.6 0.4,- number0 number1,0.2,"[18, 19, 20, 25, 26, 27, 38, 39, 40]",,,Kenji and his classmates placed colored blocks on a scale during a science lab . The yellow block weighed number0 pounds and the green block weighed number1 pounds .,,,How much more did the yellow block weigh than the green block ?
41,Joan found number0 seashells on the beach . she gave Sam some of her seashells . She has number1 seashell . How many seashells did she give to Sam ?,70.0 27.0,- number0 number1,43.0,"[1, 2, 3, 17, 18, 19, 26, 27, 28]",,,Joan found number0 seashells on the beach . she gave Sam some of her seashells . She has number1 seashell .,,,How many seashells did she give to Sam ?
42,"Isabel had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it , how many problems did she have to complete total ?",2.0 4.0 5.0,* number2 + number0 number1,30.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 29, 30, 31]",,,"Isabel had number0 pages of math homework and number1 pages of reading homework . If each page had number2 problems on it ,",,,how many problems did she have to complete total ?
43,"Olivia and her mom were picking carrots from their garden . Olivia picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",20.0 14.0 19.0,- + number0 number1 number2,15.0,"[12, 13, 14, 17, 18, 19, 21, 22, 23, 33, 34, 35]",,,"Olivia and her mom were picking carrots from their garden . Olivia picked number0 and her mother picked number1 . If only number2 of the carrots were good ,",,,how many bad carrots did they have ?
44,There are number0 erasers in the drawer and number1 erasers on the desk . Alyssa placed number2 erasers and number3 rulers on the desk . How many erasers are now there in total ?,48.0 30.0 39.0 45.0,+ + number0 number1 number2,117.0,"[1, 2, 3, 4, 7, 8, 9, 10]",,,There are number0 erasers in the drawer and number1 erasers on the desk . Alyssa placed number2 erasers and number3 rulers on the desk .,,,How many erasers are now there in total ?
45,"A bowl contains number0 red chips , number1 blue chips , and number2 green chips . You choose number3 chip at random . What is the probability that your chip is not red ?",4.0 3.0 9.0 1.0,/ + number1 number2 + + number0 number1 number2,0.75,"[2, 3, 4, 6, 7, 8, 11, 12, 13, 17, 18, 19, 30, 31, 32]",,,"A bowl contains number0 red chips , number1 blue chips , and number2 green chips . You choose number3 chip at random .",,,What is the probability that your chip is not red ?
46,Keith picked number0 pears and Jason picked number1 pears from the pear tree . Joan picked number2 apples from the apple tree . How many pears were picked in total ?,3.0 2.0 5.0,+ number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]",,,Keith picked number0 pears and Jason picked number1 pears from the pear tree . Joan picked number2 apples from the apple tree .,,,How many pears were picked in total ?
47,"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",5.0 33.0 2.0,/ + number1 number2 number0,7.0,"[6, 7, 8, 15, 16, 17, 20, 21, 22, 28, 29, 30]",,,"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",,,how many baggies could she make ?
48,"I have number0 pencils . If I put number1 pencils in each pencil box , how many pencil boxes will I fill ?",648.0 4.0,/ number0 number1,162.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21]",,,"I have number0 pencils . If I put number1 pencils in each pencil box ,",,,how many pencil boxes will I fill ?
49,Joan has number0 orange balloons but lost number1 of them . How many orange balloons does Joan have now ?,8.0 2.0,- number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,Joan has number0 orange balloons but lost number1 of them .,,,How many orange balloons does Joan have now ?
50,Ralph collects number0 cards . Ralph 's father gives Ralph number1 more . How many cards does Ralph have ?,4.0 8.0,+ number0 number1,12.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",,,Ralph collects number0 cards . Ralph 's father gives Ralph number1 more .,,,How many cards does Ralph have ?
51,Professor Ellison weighed number0 pieces of metal for an experiment . The piece of iron weighed number1 pounds and the piece of aluminum weighed number2 pound . How much more did the piece of iron weigh than the piece of aluminum ?,2.0 11.166666666666666 0.8333333333333334,- number1 number2,10.333333333333334,"[2, 3, 4, 15, 16, 17, 23, 24, 25, 38, 39, 40]",,,Professor Ellison weighed number0 pieces of metal for an experiment . The piece of iron weighed number1 pounds and the piece of aluminum weighed number2 pound .,,,How much more did the piece of iron weigh than the piece of aluminum ?
52,Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends . How many puppies does she now have ?,8.0 4.0 4.0,- number0 number1,4.0,"[3, 4, 5, 6, 7, 8, 12, 13, 14, 22, 23, 24]",,,Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends .,,,How many puppies does she now have ?
53,There are number0 scissors and number1 pencils in the drawer . Jason placed number2 scissors in the drawer . How many scissors are now there in total ?,5.0 3.0 4.0,+ number0 number2,9.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",,,There are number0 scissors and number1 pencils in the drawer . Jason placed number2 scissors in the drawer .,,,How many scissors are now there in total ?
54,There are number0 books in a library . They are arranged on shelves that hold number1 books each . How many shelves are in the library ?,14240.0 8.0,/ number0 number1,1780.0,"[1, 2, 3, 14, 15, 16, 23, 24, 25]",,,There are number0 books in a library . They are arranged on shelves that hold number1 books each .,,,How many shelves are in the library ?
55,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",9.0 2.0 2.0,* number0 + number1 number1,36.0,"[3, 4, 5, 11, 12, 13, 14, 15, 16, 26, 27, 28]",,,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",,,how many birds does the pet store have total ?
56,"Dan has number0 violet marbles , he gave Mary number1 of the marbles . How many violet marbles does he now have ?",64.0 14.0,- number0 number1,50.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]",,,"Dan has number0 violet marbles , he gave Mary number1 of the marbles .",,,How many violet marbles does he now have ?
57,"Bonnie has number0 tickets . If she shares them among number1 friends , how many tickets does each friend get ?",10.0 2.0,/ number0 number1,5.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19]",,,"Bonnie has number0 tickets . If she shares them among number1 friends ,",,,how many tickets does each friend get ?
58,Willie starts with number0 stickers . He gives number1 to Emily . How many stickers does Willie end with ?,36.0 7.0,- number0 number1,29.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",,,Willie starts with number0 stickers . He gives number1 to Emily .,,,How many stickers does Willie end with ?
59,It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour . How far is it between Carl 's house and Ralph 's house ?,5.0 2.0,* number0 number1,10.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",,,It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour .,,,How far is it between Carl 's house and Ralph 's house ?
60,"For dessert , Jane ’ s mom prepared number0 pieces of bite - size cinnamon swirls . If the number1 of them ate an equal number of pieces of cinnamon swirls , how many pieces did Jane eat ?",12.0 3.0,/ number0 number1,4.0,"[6, 7, 8, 17, 18, 19, 34, 35, 36]",,,"For dessert , Jane ’ s mom prepared number0 pieces of bite - size cinnamon swirls . If the number1 of them ate an equal number of pieces of cinnamon swirls ,",,,how many pieces did Jane eat ?
61,Tessa has number0 apples . Anita gave her number1 more . She needs number2 apples to make a pie . Does she have enough to make a pie ?,4.0 5.0 10.0,+ number0 number1,9.0,"[1, 2, 3, 7, 8, 9, 12, 13, 14, 25, 26, 27]",,,Tessa has number0 apples . Anita gave her number1 more . She needs number2 apples to make a pie .,,,Does she have enough to make a pie ?
62,"Megan baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",71.0 43.0 7.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 17, 18, 19, 29, 30, 31, 32, 33, 34]",,,"Megan baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",,,how many packages could she make if she put number2 cupcake in each package ?
63,Emily sprinted to Timothy 's house . It is number0 miles from Emily 's house to Timothy 's house . It took Emily number1 hours to get there . How fast did Emily go ?,10.0 2.0,/ number0 number1,5.0,"[8, 9, 10, 22, 23, 24, 31, 32, 33]",,,Emily sprinted to Timothy 's house . It is number0 miles from Emily 's house to Timothy 's house . It took Emily number1 hours to get there .,,,How fast did Emily go ?
64,George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case . How many blocks does George have ?,2.0 6.0 5.0,* number0 number1,12.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 24, 25, 26]",,,George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case .,,,How many blocks does George have ?
65,Donna weighs number0 pounds . Willie weighs number1 pounds . How much heavier is Donna than Willie ?,69.0 51.0,- number0 number1,18.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",,,Donna weighs number0 pounds . Willie weighs number1 pounds .,,,How much heavier is Donna than Willie ?
66,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,40.0 25.0 21.0,- + number0 number2 number1,36.0,"[2, 3, 4, 12, 13, 14, 19, 20, 21, 30, 31, 32]",,,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,,,how many would be in the bin ?
67,"Each day , the polar bear at Richmond 's zoo eats number0 bucket of trout and number1 bucket of salmon . How many buckets of fish does the polar bear eat daily ?",0.2 0.4,+ number0 number1,0.6,"[10, 11, 12, 15, 16, 17, 29, 30, 31]",,,"Each day , the polar bear at Richmond 's zoo eats number0 bucket of trout and number1 bucket of salmon .",,,How many buckets of fish does the polar bear eat daily ?
68,"Oliver made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",35.0 7.0 4.0,/ - number0 number1 number2,7.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]",,,"Oliver made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",,,how many number2 dollar games could he buy with the money he had left ?
69,There are number0 baskets . There are number1 apples in each basket . How many apples are there in all ?,37.0 17.0,* number0 number1,629.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",,,There are number0 baskets . There are number1 apples in each basket .,,,How many apples are there in all ?
70,Randy has number0 blocks . He uses number1 blocks to build a tower . How many blocks are left ?,78.0 19.0,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",,,Randy has number0 blocks . He uses number1 blocks to build a tower .,,,How many blocks are left ?
71,"Ned bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Ned still have ?",14.0 7.0 6.0,* number2 - number0 number1,42.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]",,,"Ned bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",,,how many pieces did Ned still have ?
72,"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",26.0 36.0 48.0,- + number0 number1 number2,14.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 28, 29, 30]",,,"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files ,",,,how many files were still on her flash drive ?
73,"If number0 of a pound is worth number1 dollars , how much is number2 pounds worth ?",0.6667 8.0 0.75,* / number1 number0 number2,9.0,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 13, 14, 15]",,,"If number0 of a pound is worth number1 dollars ,",,,how much is number2 pounds worth ?
74,There were number0 bales of hay in the barn . Tim stacked bales in the barn today . There are now number1 bales of hay in the barn . How many bales did he store in the barn ?,28.0 54.0,- number1 number0,26.0,"[1, 2, 3, 20, 21, 22, 35, 36, 37]",,,There were number0 bales of hay in the barn . Tim stacked bales in the barn today . There are now number1 bales of hay in the barn .,,,How many bales did he store in the barn ?
75,Mary picked number0 oranges and Jason picked number1 oranges from the orange tree . How many oranges were picked in total ?,122.0 105.0,+ number0 number1,227.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",,,Mary picked number0 oranges and Jason picked number1 oranges from the orange tree .,,,How many oranges were picked in total ?
76,"Kimberly has number0 Skittles . She buys number1 more . Later , Kimberly buys number2 oranges at the store . How many Skittles does Kimberly have in all ?",5.0 7.0 18.0,+ number0 number1,12.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15, 25, 26, 27]",,,"Kimberly has number0 Skittles . She buys number1 more . Later , Kimberly buys number2 oranges at the store .",,,How many Skittles does Kimberly have in all ?
77,"Gwen earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them , how many points would she have earned ?",8.0 4.0 2.0,* number0 - number1 number2,16.0,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 30, 31, 32]",,,"Gwen earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them ,",,,how many points would she have earned ?
78,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",62.0 8.0 9.0,/ - number0 number1 number2,6.0,"[2, 3, 4, 10, 11, 12, 27, 28, 29, 34, 35, 36]",,,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",,,how many pies could they make ?
79,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots . How many ladybugs are there in all ?",12170.0 54912.0,+ number0 number1,67082.0,"[21, 22, 23, 26, 27, 28, 36, 37, 38]",,,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots .",,,How many ladybugs are there in all ?
80,"While shopping , Maria bought number0 green towels and number1 white towels . If she gave her mother number2 of them , how many towels did Maria end up with ?",35.0 21.0 34.0,- + number0 number1 number2,22.0,"[4, 5, 6, 8, 9, 10, 17, 18, 19, 27, 28, 29]",,,"While shopping , Maria bought number0 green towels and number1 white towels . If she gave her mother number2 of them ,",,,how many towels did Maria end up with ?
